Gene,SNAP-n
KCNAB1,0.001043979
NPAS2,0.001043629
CCSER1,0.001040539
RPH3A,0.001039843
PTPRR,0.001039831
MDGA2,0.001038921
LY86-AS1,0.001037411
PDE4D,0.001030902
CIRBP,0.001027172
NKAIN2,0.00102369
DPP6,0.001019733
WBSCR17,0.001019199
SCG2,0.001019127
AC073578.2,0.001018186
MARCH4,0.001011924
TNR,0.001005346
CHKA,0.00099845
HGSNAT,0.000995965
HDAC9,0.000994649
NAV3,0.000993369
TRIB2,0.000987814
MAST4,0.000984626
RNF150,0.000979663
NR4A1,0.000978437
AC011287.1,0.000978354
SH3RF1,0.000976117
ZNF385B,0.000969222
SLC1A2,0.000963547
PDE7B,0.000961447
ADTRP,0.000960966
AC021079.1,0.000959813
KIAA1462,0.000956183
TMTC4,0.000948818
AGBL4,0.000945258
HIVEP2,0.000943053
TBL1XR1,0.000941407
AGBL1,0.000935555
FAM81A,0.000934948
SPTSSB,0.000934696
SLC2A13,0.000929387
COL24A1,0.000929178
ZDHHC23,0.000927519
STMN1,0.000926248
SYT12,0.000921375
AC087280.2,0.000919356
PRMT8,0.000916116
MIR181A1HG,0.000915322
KCNB2,0.000911333
PTPRO,0.000902991
YWHAZ,0.000897464
GRIN2B,0.000895361
AL391117.1,0.000895139
HECTD2,0.000894524
FRMD6,0.000894033
AC019211.1,0.000893032
LMCD1-AS1,0.000892667
LINC02232,0.000889406
BAALC,0.000886061
BEX1,0.000883996
POU6F2,0.000883772
C12orf42,0.000883459
ZBBX,0.000883102
AC091885.2,0.000881816
ITFG1,0.00088173
RASGEF1B,0.000881592
PTCHD1-AS,0.000879241
AC079098.1,0.000877388
OSBPL10,0.000877181
DGKH,0.000876482
SLC44A5,0.000875059
PHYHIPL,0.000874129
CNTNAP4,0.000872631
ARHGAP29,0.000870218
TUBB2A,0.000869511
PCDH11Y,0.000866358
ZNF804B,0.000865926
CXXC4-AS1,0.000865801
AL390778.1,0.000863679
DOK5,0.00086239
DLGAP1,0.000860717
CHGB,0.000858757
GPM6B,0.000857556
RFTN1,0.000857014
TRAPPC9,0.000855963
SORCS2,0.000854945
NAP1L5,0.000854263
MAP1LC3A,0.000852314
HIVEP1,0.000852211
KMO,0.00084964
HCN1,0.000849278
SYNDIG1,0.000847929
LINC02008,0.000841012
AC009135.2,0.000840149
OSBPL3,0.000838339
OPN3,0.000837848
PJA2,0.000835506
SULF2,0.000835457
COL11A1,0.000834544
PER2,0.000833213
CTXN1,0.000831159
GOLGA8A,0.000828575
SHC4,0.000820536
XYLT1,0.000819843
UNC13A,0.000817986
ALDH1A2,0.000816403
ZEB2,0.00081276
TBC1D9,0.000808623
TMTC2,0.000803591
ATP2B1,0.000799561
KAZN,0.000797572
C8orf34,0.000795109
HSD17B12,0.000794823
CALM2,0.00079374
GALNT11,0.000793159
COL12A1,0.000792746
AL022068.1,0.000791939
SGK1,0.000790927
AC024909.1,0.000790536
GRASP,0.000789459
NEDD9,0.000786969
SYT1,0.00078574
MAN2A1,0.000779232
SLC39A10,0.000778707
GALNT14,0.000778435
KCNIP3,0.000775103
STRBP,0.000774631
FMNL2,0.00077347
TMX4,0.000773151
PCDH9-AS2,0.000772697
VSNL1,0.000771701
AL391807.1,0.000771098
SIK3,0.000769581
PFN2,0.000768885
AC067956.1,0.000767863
FAT1,0.000766384
BEX5,0.000762442
PCDH9-AS1,0.000761938
STUM,0.000760267
AL590302.2,0.000758626
TTTY14,0.000757802
LINC00343,0.000757495
NPTXR,0.000756624
PCDH17,0.000756046
VGF,0.000749701
PPFIA2,0.00074835
GOLT1B,0.00074808
STXBP5L,0.000748001
SPRY4,0.000747505
MT-CO1,0.000747232
MSC-AS1,0.000747081
CACNG8,0.000746579
STX1A,0.000745597
ANKRD28,0.000744212
UNC5D,0.000743886
ARPP19,0.000740979
ATP6V0E2,0.000738112
HRH1,0.000737587
COL13A1,0.000736918
UBE2E3,0.000735696
CALM3,0.000734415
BEX2,0.000733823
ETS2,0.00073288
ARSJ,0.000731343
GDA,0.000730017
PSME4,0.000729956
SPRED3,0.000725855
FAM198B,0.000725823
SUSD1,0.000723862
BDNF,0.00072332
SECISBP2,0.00072157
BEX3,0.000721254
STARD4-AS1,0.000718364
PRDM5,0.000717242
SUB1,0.000716812
ADGRL2,0.00071526
FAM131A,0.000714404
PVRL3-AS1,0.000713206
PDE7A,0.000712182
RASL10A,0.000709873
AHI1,0.000708527
ENOX1,0.000708321
PRKN,0.000707615
LRRFIP1,0.0007073
RCAN2,0.000705014
ACTG1,0.000703111
PCP4,0.000702653
LUC7L2,0.000700963
PTPRG,0.000700696
LYRM9,0.000700558
VEZT,0.00070002
MGLL,0.000699817
SAMD4A,0.000699686
SERPINI1,0.000699474
LIPA,0.000699331
LINC00507,0.00069806
SIK2,0.000696684
FGD6,0.000695873
BEX4,0.000695782
SELENOH,0.00069567
SYNJ2,0.000693964
PTPRB,0.000692762
SELENOW,0.000692723
RTN4,0.000691658
FAR2,0.000690621
LINGO1,0.000688931
LINC01359,0.000687826
PCLO,0.00068614
PPM1L,0.000684607
EIF4G3,0.000680505
HES4,0.00067843
NRGN,0.000677471
BRAF,0.000677005
IGSF21,0.000674644
LINC02217,0.00067376
SYP,0.000673326
LINC01844,0.000669884
ENC1,0.00066939
NAALADL2,0.000668765
PLCL2,0.000667414
PAPSS2,0.000666962
TPK1,0.000665572
SLC6A17,0.000665427
RPS6KA3,0.000665261
DNAH7,0.000664093
GPATCH2,0.000663944
TMEM178B,0.000663732
AC008056.1,0.000662401
LRRTM3,0.000659167
MT-CO3,0.000658857
MMP17,0.000657696
ASAP2,0.000654784
AC098679.1,0.000654109
GOLGA8A:GOLGA8B,0.000653223
AC069228.1,0.000653205
SEZ6L2,0.000652525
CLMP,0.000652443
BRK1,0.000652371
GLCE,0.00065214
PIGL,0.000652122
MARCKS,0.000649
ICA1L,0.000648564
CSRNP3,0.000646175
ATP6AP2,0.00064603
KDM5D,0.000644975
PTPRS,0.000642968
PAFAH1B1,0.000641961
COL26A1,0.0006415
ST8SIA5,0.000641192
GPX4,0.000639521
MEF2A,0.000639503
HERC1,0.000638567
SARAF,0.000636806
NDRG4,0.000635607
LDHA,0.000635503
KLHL42,0.000635484
DTNA,0.000635203
RAPH1,0.000634284
TUBA1A,0.000634061
LINC01748,0.00063348
LINC01090,0.000632996
CDC42,0.000632582
CCNYL1,0.000632076
SEMA5A,0.000630814
APLF,0.000630281
RASGRF1,0.000629771
FRMPD2,0.000629543
MAP3K13,0.000629386
TCEAL7,0.000628359
RPS6KL1,0.000627086
SLC39A11,0.000626545
ELMO1,0.000624933
ATP8B1,0.00062248
OTUD7A,0.000620705
EFR3B,0.000619825
MPPED1,0.000618891
MTHFD1L,0.000618699
NEK10,0.000616505
HRK,0.000616088
RCSD1,0.000615251
PLEKHG1,0.000613701
ATP6V1A,0.000613127
SRRM4,0.000610509
RTF1,0.000610395
NUCKS1,0.000610023
SNAP25-AS1,0.000609967
NBEA,0.000609428
TMEM160,0.000609253
HRH2,0.000608565
CCDC65,0.00060802
KCNB1,0.000607948
TTC9B,0.000606933
ATP1B1,0.000606168
C19orf60,0.00060579
MT-CO2,0.000605632
GLS,0.000605337
DIRAS2,0.000604042
RUNX2,0.000603948
SLC30A3,0.000602738
PEG3,0.000601998
RBM3,0.000601832
CYCS,0.000600719
IL1RAP,0.000598445
SLC17A7,0.000597392
AC008591.1,0.00059696
SOCS5,0.000596711
ARMCX3,0.000596409
AP004608.1,0.000596154
LHX2,0.000596133
CCDC191,0.000594893
NRSN1,0.000594788
LINC00710,0.000594425
LINC00320,0.000591294
CELF5,0.000591135
AL117190.2,0.000590898
AC011754.1,0.000590538
CPLX1,0.000589975
SGCD,0.000588862
KCND2,0.000588036
CCDC85B,0.000587842
NUMB,0.0005871
CMC2,0.000586795
CSMD1,0.000586536
ST6GALNAC5,0.000586507
AC010890.1,0.000586481
AC093503.2,0.000585806
NAP1L1,0.000585536
RCOR3,0.00058512
SYT11,0.000583374
SCOC,0.000582568
ASTN2,0.000581977
KHDRBS3,0.000581618
RABGAP1L,0.000581218
BICD1,0.000580863
PRKCE,0.000580103
KCNIP4,0.000579713
PTPRJ,0.000579232
CLTC,0.000578842
KLHL32,0.000577967
PEX5L-AS2,0.000577845
YWHAE,0.000576807
SPRN,0.000574357
FZD3,0.000573689
GABRA5,0.000573451
TRIM54,0.00057286
LRRN3,0.000572675
NTNG1,0.000571387
ATP1A1,0.000570563
FAM49B,0.000569715
KPNA1,0.000568866
DDX17,0.00056825
KBTBD11,0.000567955
PEBP1,0.000566894
AC012358.3,0.000566849
CDKL5,0.000566832
KIAA1211L,0.000566485
BICDL1,0.000565908
TMA7,0.000565693
NEFL,0.000564181
KCNK1,0.000564022
PRICKLE1,0.000563752
SCG3,0.000563533
PCDH11X:PCDH11Y,0.000563459
GRM8,0.000563224
VDAC1,0.00056313
DNAJC6,0.000562339
ID2,0.000560431
FTH1,0.00056005
PRKAR1A,0.00055991
SPATA7,0.00055922
NNAT,0.000559112
ADGRB2,0.000558995
MAP1B,0.000558512
CCK,0.000558095
ABCC12,0.000557853
RNF141,0.000556498
TC2N,0.000556029
MARK1,0.000555963
SCN1B,0.000555874
VWA5B2,0.000555457
LINC02296,0.000555425
CRH,0.000555389
ARC,0.000555307
EGR3,0.000555051
SPATA2L,0.00055288
QTRT2,0.000552496
AC016205.1,0.000552233
ACVR1,0.00055198
DAPK2,0.000551817
DPH6,0.000551759
RABEPK,0.000551588
CREB3L1,0.00055128
TMEM132B,0.000551186
BRINP3,0.000551089
TLE1,0.000549196
AL591885.1,0.000548598
ABRACL,0.000548506
LCLAT1,0.000547958
RYR3,0.000547921
AC092546.1,0.0005469
SEMA6D,0.000546714
ATCAY,0.000545259
GABARAPL1,0.000545193
SGIP1,0.000544849
CPEB4,0.000544844
UBE2N,0.00054437
ATXN10,0.000543232
SET,0.000543145
MT-ND5,0.000543076
KCNQ1OT1,0.000542628
ALPL,0.000542361
RARB,0.000541785
WWC1,0.000540694
ARPC5L,0.000540547
ZNRF1,0.000539483
CELF2-AS2,0.000539259
TRIM44,0.000538793
TMSB4X,0.000538675
EXOC6,0.000538592
AP001993.1,0.000538483
BDH1,0.000538047
CHP1,0.000537302
CLK4,0.000536356
KIRREL3,0.000534664
CAMKK2,0.000533965
AC008780.2,0.000533953
RNF165,0.000533597
TTTY15,0.00053279
BSN,0.000532251
AC005885.1,0.000532129
NDUFA5,0.000532052
ZNF407,0.000530693
AL669831.3,0.00052946
UBASH3B,0.000529338
PDP1,0.000527974
PNMA3,0.000527379
CBARP,0.000527284
AC125608.1,0.00052703
AL590302.1,0.000526564
OXR1,0.00052595
BDNF-AS,0.000525811
PPFIA2-AS1,0.000524314
NLN,0.000522042
SYT16,0.000521891
NRG3,0.000521716
PTBP3,0.00052127
GIPC1,0.000520765
SCD5,0.000520601
DLGAP1-AS4,0.000520382
ARHGDIG,0.000520327
TXN,0.000520309
VOPP1,0.000519668
ARF5,0.000519635
AP001825.1,0.000519191
BCAS3,0.000519122
AC007389.3,0.000518443
ATP6V1D,0.000517089
PART1,0.000517058
KIF3A,0.000516917
C6orf62,0.000515986
KCNMB4,0.000515528
SFPQ,0.000515483
SLC22A10,0.000515235
AC119868.2,0.000515024
OAZ1,0.000514648
FAM173A,0.000514644
PDGFC,0.000514585
IDI1,0.0005143
LINC01184,0.000514074
PPP6R2,0.000513603
MAN1A2,0.00051315
GABRG2,0.000513138
SEC62,0.000513087
PTPRZ1,0.000512907
SCMH1,0.000511529
DNAJC5G,0.000510895
SATB2,0.000510828
ANKRD33B,0.000510598
ADAM17,0.000509819
MEF2C,0.000509568
SPCS1,0.000508676
SAMD12-AS1,0.000507687
SLC25A25,0.000507206
TPM3,0.000506843
ADGRA1,0.000506529
USMG5,0.000506067
PLXNA2,0.000505313
AC090579.1,0.000505169
LRRC7,0.000505072
NR4A3,0.000504083
PPME1,0.000504068
ZNF449,0.000503998
PAH,0.000503866
AL162231.1,0.000503545
HMGN1,0.000503413
ZPBP,0.000503313
B3GALT2,0.000503187
PDZRN4,0.000502801
DGKZ,0.000502264
AC009041.2,0.000501776
NWD2,0.000501098
RTN1,0.000500907
AC027288.3,0.000499659
PTMA,0.000499497
DNM1L,0.000499283
AC108002.3,0.000498682
ARHGAP26,0.000498231
SEZ6,0.000498058
SVEP1,0.000497625
C5orf17,0.00049673
SCFD2,0.000496389
SNX30,0.000496259
ELMOD1,0.000496241
AC021594.2,0.000496024
HS3ST5,0.00049592
OXCT1,0.000494549
BASP1,0.000494153
EGR4,0.000493734
HS3ST3B1,0.000493077
KIF1B,0.000492369
SPRY2,0.000492232
FAM189A1,0.000492127
H3F3B,0.000491523
KCNV1,0.000491191
MFN1,0.000490788
CNTN4,0.000490352
AL138828.1,0.000489725
ELAVL2,0.000489259
SCLT1,0.000488723
GUK1,0.00048865
AC097468.2,0.000487304
GSTCD,0.000487059
AC087521.2,0.000486561
MIDN,0.000486243
MAPK4,0.000484751
ASPHD1,0.000484639
AC027018.1,0.000484297
LRP8,0.000483476
CCDC184,0.000483191
RHOBTB2,0.000483183
NTRK3,0.000482857
KCNMA1,0.000482221
AC090709.1,0.000481945
UTY,0.000481796
HS6ST3,0.00048095
ZFP64,0.00048074
NOV,0.000480574
USP14,0.00048002
C18orf25,0.000478366
DNAJB5,0.000478339
DDX24,0.000478296
DRAP1,0.000477933
TTTY10,0.000477929
JAZF1,0.0004778
GPC1,0.000477486
RPS26,0.000477472
EIF1,0.000477283
GABBR2,0.000477092
ERH,0.000476742
AL139294.1,0.000476002
ISCU,0.000475915
PFDN1,0.000475457
BHLHE40,0.000475201
RPL34,0.000474637
AGAP2,0.00047407
EPHA5-AS1,0.000473948
AC012485.1,0.000473588
ABLIM1,0.000473409
BMPR2,0.000473206
TAGLN3,0.00047258
PAK1,0.000472283
NYAP2,0.000472187
CHI3L1,0.00047216
SLC25A36,0.000472063
NARS,0.000470809
HINT1,0.000470735
AC093879.1,0.000469921
ARPC5,0.000469695
HECA,0.000469057
SHANK2,0.000468547
PKD2,0.000468492
AC246817.1,0.000468466
GATAD2B,0.000468463
COQ4,0.000468205
KCNT2,0.00046797
TPM4,0.000467952
ZNF275,0.000467634
NR2F1-AS1,0.000467542
DYNLL1,0.000467525
CTNND2,0.000466858
TTC12,0.000466563
RAB2A,0.00046632
WSB2,0.000466243
AL596451.1,0.000465968
FAM76A,0.00046592
GNB5,0.000465866
C12orf40,0.000465781
TMEM241,0.000465417
JUND,0.000465306
PTPN5,0.000463985
PSMA7,0.000463941
CITED2,0.000463467
NAB1,0.000463325
SPDYE2,0.000462718
CDKN2D,0.000462611
FAM135A,0.000462487
SERTM1,0.000462332
PTPN11,0.000462097
TIMM17A,0.000461089
STXBP1,0.000460739
MTFMT,0.000460668
GRID1,0.000460301
HNMT,0.000459383
NPFFR2,0.000458735
MT-ND6,0.000456858
UBLCP1,0.000456837
C3orf80,0.000456515
TCEAL2,0.000455991
LINC01085,0.000455918
SRGAP2,0.000455866
SRGAP2B:SRGAP2C,0.000455716
SH3D19,0.000455646
TSHZ2,0.000455452
AL353052.1,0.000454356
LSM4,0.000453733
CFAP46,0.000452826
EID1,0.000452667
SPDYE2B:SPDYE6,0.000452616
NPAS3,0.000452562
FJX1,0.000452523
COPG2,0.000452333
ARF3,0.000451943
ID4,0.000451861
XKR6,0.000451378
FAM184A,0.000450938
PKIA,0.000450682
ZFY,0.000450479
SFTA1P,0.00045029
AL354771.1,0.000449951
RNF38,0.000449874
C14orf2,0.000449534
CDK5R2,0.000449527
EPHB6,0.000449312
RANBP1,0.000449107
RPL15,0.000448575
CCDC84,0.000448558
FAM204A,0.000448352
GSK3B,0.000447994
CSPG5,0.000447461
AC096576.2,0.000447151
SRGAP2B,0.000447027
GNAO1,0.000446976
LMBRD1,0.000446566
TAOK1,0.000446143
AC073167.1,0.000445836
PLGRKT,0.000445556
AL138799.4,0.000445191
GRIN2A,0.000444811
LNX1,0.000444694
CREB5,0.000444633
MTCL1,0.000444375
FLRT1,0.000443821
HTR3B,0.000443665
PTMS,0.00044322
C8orf33,0.000442976
VKORC1L1,0.000442494
SCG5,0.000441973
FNDC5,0.000441689
RSL24D1,0.000441074
RFX3-AS1,0.000440993
MCHR2,0.00044031
CCDC57,0.000440022
RAP2C-AS1,0.000439519
SETBP1,0.000439282
NPNT,0.000438823
CACNG5,0.000438743
FNDC4,0.000438626
KLF6,0.000438432
SKP1,0.000438393
FBXW2,0.000438375
JMJD1C,0.000438313
ENAH,0.000438025
ZSWIM6,0.000437975
ATR,0.000437961
SELENOK,0.000437838
SLC25A3,0.000437442
PCDH9-AS3,0.000437207
AC022679.2,0.000437202
EML1,0.000437035
GARNL3,0.000436803
TECPR2,0.00043642
TMEFF2,0.000436381
ELOC,0.000435978
NELL1,0.000435765
SERF1A:SERF1B,0.000435654
THRAP3,0.000435453
FIS1,0.000435391
RAB3B,0.000435252
INTS12,0.000435056
EPC2,0.000434816
MAL2,0.000434252
MYO1E,0.000433837
FARSB,0.000433454
MED27,0.000433099
PHLDA2,0.000432909
CACNB1,0.000432525
LDLRAD4,0.000432356
AC093607.1,0.000432268
FBXL4,0.000431906
RAI14,0.000431569
DAB2IP,0.000431363
EXOC4,0.000431162
PRDM2,0.000430977
THY1,0.000430441
PTPRG-AS1,0.000430315
AC096576.3,0.000430064
GADD45A,0.000430059
TMEM141,0.000429148
BOLA3,0.000428795
ABCB11,0.000428701
TCEAL5,0.000428646
NEDD8,0.000428511
CADM1,0.000428337
LINC01239,0.000428074
AC098617.1,0.000427197
PPP3CB,0.000426941
TMEM9B,0.00042691
PALM2-AKAP2,0.000426788
PCSK2,0.00042667
ATG10,0.000426628
GAS2,0.000426312
ZC3H13,0.000425462
SOBP,0.000425319
AC012370.1,0.000425111
MAFK,0.000425067
AC004470.1,0.000424984
TCF4,0.000424318
CEP83,0.000424284
RPS27,0.000424033
AC117944.1,0.00042398
TIMM23B,0.000423497
RHEB,0.000423196
LRRC28,0.000423196
SLC20A1,0.000423189
RELB,0.000422835
AMIGO2,0.000422785
JUNB,0.000422695
AC022469.2,0.000422545
PTP4A1,0.000422404
EPS15,0.000422007
AC037486.1,0.000421828
CORO1A,0.000421797
KCNIP1,0.000421731
OSBPL8,0.000421513
ZNF215,0.000420985
BDP1,0.000420841
ACTR3B,0.000420683
DDT,0.000420256
SHANK1,0.000420122
KCNMB2,0.000419831
CTTNBP2,0.000419673
TOMM20,0.000419457
AL583859.2,0.000418361
CES4A,0.000418327
SMIM29,0.000418173
AFAP1,0.000417997
DDHD1,0.000417719
AC092264.1,0.000417073
TSPAN13,0.000416929
VCL,0.00041666
AL158058.1,0.000416631
RPS28,0.000416221
CREG2,0.000415439
MT-CYB,0.000414936
AC018730.2,0.00041475
TMSB10,0.000414622
AL359237.1,0.000414129
MT-ATP6,0.00041381
AP000462.1,0.000413737
BCL7C,0.000413485
FOXG1,0.000413404
AC004039.1,0.000413173
CD24,0.000413086
AL591684.2,0.000412854
NCAM1,0.000412756
RPS7,0.000412729
GRK5,0.00041258
UQCRH,0.000412316
GABARAPL2,0.000412226
FOXP2,0.000412035
SYT4,0.000411936
BZW1,0.000411799
DLGAP4,0.000411798
HMGCS1,0.00041167
PHF24,0.000411452
RCN2,0.000410327
TCTEX1D1,0.000410061
TSPAN7,0.000409976
TMCC1,0.000409839
LRRFIP2,0.000409352
UQCRB,0.000409224
PSMA5,0.000409194
CHRM2,0.000408833
CRIM1,0.000408824
GREM2,0.000408804
TM6SF1,0.000408719
ASCL1,0.000408666
TNC,0.000408665
RPS27A,0.000408505
NIPAL2,0.000408264
FBXL17,0.000408179
SEPT11,0.000408172
MSH3,0.00040716
SAMD5,0.000407155
SPRY4-IT1,0.000407119
PAAF1,0.000407037
RAC1,0.000406993
RPL12,0.000406877
MOAP1,0.000406725
AKAP7,0.000406656
DRD5,0.000406245
EIF5B,0.000406195
PLK2,0.000405894
UBE2V2,0.000405774
TMC7,0.000405121
CHSY3,0.000405097
LINC00907,0.000404943
LNPK,0.000404452
ATP5G1,0.000404445
AP003086.2,0.00040417
LINGO2,0.0004039
RTL8C,0.000403616
KCNF1,0.000403456
NIPSNAP2,0.000402575
WASF3,0.000402503
MPPED2,0.000401642
AC022486.1:HSFY2,0.000401637
RPL32,0.000401121
ARHGAP21,0.000400825
C8orf46,0.000400699
ATP6V1G2,0.000400694
ERICH3,0.000400687
CATSPERB,0.000400441
MFSD10,0.000400267
RPL38,0.000399766
LAMB1,0.000399572
ARPC3,0.000399445
CCDC122,0.000399384
USP9Y,0.000399372
CNTN5,0.000399087
COBLL1,0.00039899
TM2D3,0.000398781
SNX8,0.000398753
AP2M1,0.000398747
NUPL2,0.000398698
ACSL6,0.00039858
RASAL2,0.000398511
SLC25A5,0.000398446
PDCD6,0.000398169
ATP2B1-AS1,0.000397601
NDUFA1,0.000396631
ITM2C,0.000396614
SOX4,0.000396518
FBXO16,0.000396275
FAM66D,0.000396125
RPL10,0.000396054
RTN3,0.000395904
KHDRBS2,0.000395849
MT-ND4,0.000395528
SH3RF3,0.0003955
PPP2CB,0.000395439
SLC17A6,0.000395092
GMDS,0.000395075
RBFOX1,0.00039433
BMP2K,0.000394126
SELENOM,0.000393967
SAP18,0.000393655
C22orf34,0.000393616
PCDH9-AS4,0.000393511
FAF1,0.000393394
HR,0.000393352
AP1S1,0.000393217
NCAN,0.000393063
DCDC2,0.000392199
AC009264.1,0.00039195
TDG,0.000391604
AC012370.2,0.00039148
SUMO2,0.000391037
AL445433.2,0.000390942
CACNG3,0.000390909
GCC2,0.000390755
NDUFB2,0.000390391
WDFY3,0.000390376
MEAF6,0.000390281
AL450423.1,0.000390102
GPR3,0.000390022
CHN2,0.000389991
MEIS3,0.000389741
RPS14,0.000389647
RPL21,0.000389594
KCNQ1,0.000389419
AL162254.1,0.000389401
TBL1X,0.000389301
MIR7-3HG,0.000389281
KRAS,0.000389111
COX7C,0.000388915
GFM1,0.000388806
EFCAB6,0.000388698
CPEB2,0.000388565
CCDC91,0.000388461
CU639417.2:SIK1,0.000388168
ATP10A,0.000387898
SON,0.000387802
GPRASP1,0.000387734
FOXG1-AS1,0.000387401
SLC8A1-AS1,0.000387269
UBE3A,0.000387141
PPM1H,0.000386871
LINC02220,0.000386754
INO80,0.000386582
SYT13,0.000386406
PIM3,0.000386396
RPL9,0.000386285
CRMP1,0.000386276
ARHGAP25,0.000385766
TCEAL4,0.000385433
ADRA1D,0.000385334
C16orf87,0.000385246
GHITM,0.000385208
TIMM13,0.000385
NLK,0.000384956
MRPL51,0.000384664
DYNC2LI1,0.000384662
THADA,0.000384622
AC068205.1,0.000384605
TCERG1L,0.000384253
PDZD8,0.00038414
CHRM3-AS2,0.000383602
CAB39L,0.000383355
AC124290.1,0.000383112
CFL1,0.000382654
TMED4,0.000382399
SEC11C,0.000382029
PNMA8B,0.000381783
ZNF354A,0.000381748
TAF13,0.000381701
ATP6V1F,0.000381452
PINK1,0.000381371
PIK3C3,0.000380985
CAMK2D,0.000380631
NAT8L,0.000380551
NUTM2B-AS1,0.000380495
MYEF2,0.000379712
NPIPB3:NPIPB5,0.000379609
METAP2,0.000379533
CLIP3,0.000379403
FIBP,0.000379308
SLC16A7,0.000379174
COX8A,0.000379173
PLPPR4,0.000378968
RPS8,0.000378888
CAMK2N1,0.000378316
RPS3A,0.000378011
UPK3BL1,0.000376733
PTPRD,0.000376618
RPL23,0.000376567
CFAP61,0.000376469
CA10,0.000375674
LINC00508,0.000375477
ATP5I,0.000375411
AL450306.1,0.00037536
HS3ST4,0.000375354
SRPRA,0.000375034
RAD23A,0.000375024
CD164,0.000374914
ARNT2,0.000374641
ZNF428,0.000374458
KIF1BP,0.00037436
STAG3L5P-PVRIG2P-PILRB,0.000373969
POMP,0.000373944
LONRF1,0.000373938
MZT2B,0.000373604
RNF112,0.000373571
FAU,0.000373559
RPS4Y1,0.000373423
APEX1,0.000373291
AC113383.1,0.000372991
ATP1B3,0.000372696
ERLEC1,0.00037264
TRAPPC1,0.000372084
AC073578.1,0.000372037
CFAP97,0.000371917
TFCP2,0.000371281
EMC6,0.000371269
FKTN,0.000371104
SRGAP2:SRGAP2B,0.000370961
AC010503.1,0.00037089
FARP1,0.000370872
WWC3,0.000370862
TTL,0.000370679
FNBP4,0.000370598
PAPD4,0.000370588
ARPC2,0.00037021
CHD5,0.000370195
ATP6V1G1,0.00037002
LINC01310,0.000369964
COL22A1,0.000369712
SRGAP2C,0.000369634
PGRMC1,0.000369488
EPM2A,0.000369271
PEPD,0.000369216
SUCLA2,0.000369144
RAB40B,0.000369142
AC015923.1,0.00036885
ARID4A,0.000368648
NEO1,0.000368141
LDAH,0.000368066
E2F3,0.000367975
RPL10A,0.000367955
MAML3,0.000367825
PSMC3,0.000367735
RAB3A,0.000367484
RPS15A,0.000367379
NDFIP1,0.00036729
ZC2HC1A,0.000367089
KIAA1524,0.000366665
RBM6,0.000366654
